,game_slug,game_end_date,game_start_date,game_location,game_name,game_season,game_year,discipline_title,event_title,slug_game,participant_type,medal_type,athletes,rank_equal,rank_position,country_name,country_code,country_3_letter_code,athlete_url,athlete_full_name,value_unit,value_type,date,sexe
3789,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Trap Mixed Team,tokyo-2020,GameTeam,,"[('Penny SMITH', 'https://olympics.com/en/athletes/penny-smith'), ('Thomas Derek GRICE', 'https://olympics.com/en/athletes/thomas-derek-grice')]",False,6,Australia,AU,AUS,,,,,2020,
3790,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Trap Mixed Team,tokyo-2020,GameTeam,,"[('Laetisha SCANLAN', 'https://olympics.com/en/athletes/laetisha-scanlan'), ('James WILLETT', 'https://olympics.com/en/athletes/james-willett')]",False,7,Australia,AU,AUS,,,,,2020,
3794,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Trap Mixed Team,tokyo-2020,GameTeam,,"[('Daria SEMIANOVA', 'https://olympics.com/en/athletes/daria-semianova'), ('Alexey ALIPOV', 'https://olympics.com/en/athletes/alexey-alipov')]",False,11,Russia,Russia,Russia,,,,,2020,
3797,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Trap Mixed Team,tokyo-2020,GameTeam,,"[('Ekaterina SUBBOTINA', 'https://olympics.com/en/athletes/ekaterina-subbotina'), ('Maxim KABATSKIY', 'https://olympics.com/en/athletes/maxim-kabatskiy')]",False,14,Russia,Russia,Russia,,,,,2020,
3803,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions women,tokyo-2020,Athlete,BRONZE,,False,3,Russia,Russia,Russia,https://olympics.com/en/athletes/yulia-karimova,Yulia KARIMOVA,,,2020,Woman
3826,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions women,tokyo-2020,Athlete,,,False,36,Australia,AU,AUS,https://olympics.com/en/athletes/katarina-rose-kowplos,Katarina Rose KOWPLOS,,,2020,Woman
3836,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions women,tokyo-2020,Athlete,SILVER,,False,2,Russia,Russia,Russia,https://olympics.com/en/athletes/yulia-zykova,Yulia ZYKOVA,,,2020,Woman
3837,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions Men,tokyo-2020,Athlete,SILVER,,False,2,Russia,Russia,Russia,https://olympics.com/en/athletes/sergey-kamenskiy,Sergey KAMENSKIY,,,2020,Man
3848,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions Men,tokyo-2020,Athlete,,,False,27,Australia,AU,AUS,https://olympics.com/en/athletes/dane-sampson,Dane SAMPSON,,,2020,Man
3870,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions Men,tokyo-2020,Athlete,,,False,29,Australia,AU,AUS,https://olympics.com/en/athletes/jack-rossiter,Jack ROSSITER,,,2020,Man
3883,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,25m Rapid Fire Pistol Men,tokyo-2020,Athlete,,,False,17,Australia,AU,AUS,https://olympics.com/en/athletes/sergei-evglevski,Sergei EVGLEVSKI,,,2020,Man
3895,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,25m Rapid Fire Pistol Men,tokyo-2020,Athlete,,,False,11,Russia,Russia,Russia,https://olympics.com/en/athletes/leonid-ekimov,Leonid EKIMOV,,,2020,Man
